#languageTag	#level	#worksheet	#problemNo	#sequenceType	#voiceSource	#problemSentence	#exampleNumber1	#exampleNumber2	#exampleNumber3	#exampleNumber4	#exampleWord1	#exampleWord2	#exampleWord3	#exampleWord4	#rightFormula	#rightAnswer	#objectValueA	#objectValueB	#objectValueC	#objectValueD	#equationValueA	#equationValueB	#equationSign	#equationUnknown	#objectSourceA	#objectSourceB	#objectSourceC	#objectSourceD
ms-MY	1	1	1	1	en_uk_a1_07.m4a	Ayam Ahmad bertelur 6 biji telur semalam dan 3 biji telur hari ini. Berapa biji telur yang telah dihasilkan oleh ayam Ahmad?	6	7	8	9	telur	telur	telur	telur	6 + 3 = <9>	4	6	3	0	0					wordwindow-stone-yellow.png	wordwindow-stone-red.png		
ms-MY	1	1	2	1	en_uk_a1_02.m4a	2 burung duduk di atas pagar. 4 lagi burung menyertai mereka. Berapa banyak burung di pagar?	6	7	8	9	burung	burung	burung	burung	2 + 4 = <6>	1	2	4	0	0					wordwindow-stone-red.png	wordwindow-stone-blue.png		
ms-MY	1	1	3	1	en_uk_a1_03.m4a	Rahmah mendapat pelekat bintang ketika dia melakukan matematik di sekolah. Semalam, Rahmah memperoleh 4 bintang. Hari ini, dia memperoleh 3 lagi. Berapa banyak bintang yang diperoleh Rahmah dalam semua?	6	7	8	9	bintang	bintang	bintang	bintang	4 + 3 = <7>	2	4	3	0	0					wordwindow-stone-blue.png	wordwindow-stone-green.png		
ms-MY	1	1	4	1	en_uk_a1_05.m4a	Ali mempunyai 6 buku. Hassan mempunyai 2 buku. Berapa banyak buku yang mereka ada dalam semua?	3	5	7	8	buku	buku	buku	buku	6 + 2 = <8>	4	6	2	0	0					wordwindow-stone-yellow.png	wordwindow-stone-green.png		
ms-MY	1	1	5	1	en_uk_a1_06.m4a	Maya menghidangkan 3 ubi pada makan tengah hari dan 5 ubi semasa makan malam. Berapa banyak ubi yang dihidangkan pada siang hari?	4	6	8	10	ubi	ubi	ubi	ubi	3 + 5 = <8>	3	3	5	0	0					wordwindow-stone-green.png	wordwindow-stone-red.png		
ms-MY	1	2	1	1	en_uk_a1_05.m4a	Ali mempunyai 6 buku. Hassan mempunyai 2 buku. Berapa banyak buku yang mereka ada dalam semua?	3	5	7	8	buku	buku	buku	buku	6 + 2 = <8>	4	6	2	0	0					wordwindow-stone-yellow.png	wordwindow-stone-green.png		
ms-MY	1	2	2	1	en_uk_a1_06.m4a	Maya menghidangkan 3 ubi pada makan tengah hari dan 5 ubi semasa makan malam. Berapa banyak ubi yang dihidangkan pada siang hari?	4	6	8	10	ubi	ubi	ubi	ubi	3 + 5 = <8>	3	3	5	0	0					wordwindow-stone-green.png	wordwindow-stone-red.png		
ms-MY	1	2	3	1	en_uk_a1_08.m4a	7 epal merah dan 2 epal hijau berada di dalam bakul. Berapa banyak epal dalam bakul?	6	7	8	9	epal	epal	epal	epal	7 + 2 = <9>	4	7	2	0	0					wordwindow-stone-red.png	wordwindow-stone-green.png		
ms-MY	1	2	4	1	en_uk_a1_01.m4a	Mariam menangkap 5 ikan pada waktu pagi. Dia menangkap 4 lagi ikan pada sebelah petang. Berapa banyak ikan yang ditangkap Mariam dalam semua?	6	7	8	9	ikan	ikan	ikan	ikan	5 + 4 = <9>	4	5	4	0	0					wordwindow-stone-red.png	wordwindow-stone-yellow.png		
ms-MY	1	2	5	1	en_uk_a1_03.m4a	Rahmah mendapat pelekat bintang ketika dia melakukan matematik di sekolah. Semalam, Rahmah memperoleh 4 bintang. Hari ini, dia memperoleh 3 lagi. Berapa banyak bintang yang diperoleh Rahmah dalam semua?	6	7	8	9	bintang	bintang	bintang	bintang	4 + 3 = <7>	2	4	3	0	0					wordwindow-stone-blue.png	wordwindow-stone-green.png		
ms-MY	1	3	1	1	en_uk_a1_08.m4a	7 epal merah dan 2 epal hijau berada di dalam bakul. Berapa banyak epal dalam bakul?	6	7	8	9	epal	epal	epal	epal	7 + 2 = <9>	4	7	2	0	0					wordwindow-stone-red.png	wordwindow-stone-green.png		
ms-MY	1	3	2	1	en_uk_a1_07.m4a	Ayam Ahmad bertelur 6 biji telur semalam dan 3 biji telur hari ini. Berapa biji telur yang telah dihasilkan oleh ayam Ahmad?	6	7	8	9	telur	telur	telur	telur	6 + 3 = <9>	4	6	3	0	0					wordwindow-stone-yellow.png	wordwindow-stone-red.png		
ms-MY	1	3	3	1	en_uk_a1_03.m4a	Rahmah mendapat pelekat bintang ketika dia melakukan matematik di sekolah. Semalam, Rahmah memperoleh 4 bintang. Hari ini, dia memperoleh 3 lagi. Berapa banyak bintang yang diperoleh Rahmah dalam semua?	6	7	8	9	bintang	bintang	bintang	bintang	4 + 3 = <7>	2	4	3	0	0					wordwindow-stone-blue.png	wordwindow-stone-green.png		
ms-MY	1	3	4	1	en_uk_a1_05.m4a	Ali mempunyai 6 buku. Hassan mempunyai 2 buku. Berapa banyak buku yang mereka ada dalam semua?	3	5	7	8	buku	buku	buku	buku	6 + 2 = <8>	4	6	2	0	0					wordwindow-stone-yellow.png	wordwindow-stone-green.png		
ms-MY	1	3	5	1	en_uk_a1_01.m4a	Mariam menangkap 5 ikan pada waktu pagi. Dia menangkap 4 lagi ikan pada sebelah petang. Berapa banyak ikan yang ditangkap Mariam dalam semua?	6	7	8	9	ikan	ikan	ikan	ikan	5 + 4 = <9>	4	5	4	0	0					wordwindow-stone-red.png	wordwindow-stone-yellow.png		
ms-MY	2	1	1	4	en_uk_d3_02.m4a	Razak mempunyai 2 biji guli. Aida mempunyai 3 biji guli lebih daripada Razak. Berapakah bilangan guli yang dimiliki oleh Aida?	2	3	5	8	guli	guli	guli	guli	2 + 3 = <5>	3	2	5	0	0					wordwindow-stone-red.png	wordwindow-stone-blue.png		
ms-MY	2	1	2	4	en_uk_d3_03.m4a	Zainal mempunyai 4 keping setem. Farid mempunyai 5 keping setem lebih daripada Zainal. Berapakah bilangan setem yang dimiliki oleh Farid?	4	5	9	11	setem	setem	setem	setem	4 + 5 = <9>	3	4	9	0	0					wordwindow-stone-blue.png	wordwindow-stone-green.png		
ms-MY	2	1	3	4	en_uk_d3_08.m4a	Sekolah ini mempunyai dua kotak yang hilang dan ditemui. Di dalam kotak pertama, terdapat 5 topi. Di dalam kotak kedua, terdapat 4 lebih topi daripada di kotak pertama. Berapa banyak topi yang ada di kotak kedua?	5	9	14	15	topi	topi	topi	topi	5 + 4 = <9>	2	5	9	0	0					wordwindow-stone-yellow.png	wordwindow-stone-red.png		
ms-MY	2	1	4	4	en_uk_d3_04.m4a	Amir membeli 3 buah buku lebih daripada Bakar. Bakar membeli sebuah buku. Berapakah jumlah buku yang dibeli oleh Amir?	3	4	5	6	buku	buku	buku	buku	1 + 3 = <4>	2	4	1	0	0					wordwindow-stone-yellow.png	wordwindow-stone-blue.png		
ms-MY	2	1	5	4	en_uk_d3_05.m4a	Siti mempunyai 5 buah teka-teki lebih daripada Aminah. Aminah mempunyai 3 buah teka-teki. Berapakah bilangan teka-teki yang dimiliki oleh Siti?	6	7	8	9	teka-teki	teka-teki	teka-teki	teka-teki	3 + 5 = <8>	3	8	3	0	0					wordwindow-stone-yellow.png	wordwindow-stone-green.png		
ms-MY	2	2	1	4	en_uk_d3_03.m4a	Zainal mempunyai 4 keping setem. Farid mempunyai 5 keping setem lebih daripada Zainal. Berapakah bilangan setem yang dimiliki oleh Farid?	4	5	9	11	setem	setem	setem	setem	4 + 5 = <9>	3	4	9	0	0					wordwindow-stone-blue.png	wordwindow-stone-green.png		
